  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.00     0.91      0.00       72     0.00     0.00  File.directory?
  0.00     0.91      0.00      149     0.00     0.00  Gem::Specification#full_gem_path
  0.00     0.91      0.00       10     0.00     0.00  Gem::Specification#add_self_to_load_path
  0.00     0.91      0.00      411     0.00     0.00  String#==
  0.00     0.91      0.00        5     0.00     0.00  Array#index
  0.00     0.91      0.00        5     0.00     0.00  Gem.load_path_insert_index
  0.00     0.91      0.00        5     0.00     0.00  Array#insert
  0.00     0.91      0.00        5     0.00     6.00  Gem::Specification#activate
  0.00     0.91      0.00        1     0.00    10.00  Kernel#gem
  0.00     0.91      0.00        4     0.00     0.00  Array#[]
  0.00     0.91      0.00        3     0.00     0.00  Module#protected
  0.00     0.91      0.00      283     0.00     0.00  BasicObject#singleton_method_added
  0.00     0.91      0.00        2     0.00     0.00  Float#/
  0.00     0.91      0.00        1     0.00     0.00  Float#-@
  0.00     0.91      0.00       67     0.00     0.00  Module#module_function
  0.00     0.91      0.00        1     0.00     0.00  Module#method_defined?
  0.00     0.91      0.00        1     0.00     0.00  BasicObject#!=
  0.00     0.91      0.00        1     0.00     0.00  Kernel#method
  0.00     0.91      0.00        1     0.00     0.00  Method#arity
  0.00     0.91      0.00        1     0.00     0.00  NilClass#to_i
  0.00     0.91      0.00        7     0.00     0.00  Encoding.find
  0.00     0.91      0.00       11     0.00     0.00  Module#const_defined?
  0.00     0.91      0.00       11     0.00     0.00  JSON.const_defined_in?
  0.00     0.91      0.00        5     0.00     0.00  Module#const_set
  0.00     0.91      0.00        1     0.00     0.00  JSON.parser=
  0.00     0.91      0.00        1     0.00     0.00  Module#constants
  0.00     0.91      0.00       21     0.00     0.00  Module#const_get
  0.00     0.91      0.00       20     0.00     0.00  JSON.deep_const_get
  0.00     0.91      0.00       11     0.00     0.00  Enumerable#inject
  0.00     0.91      0.00       10     0.00     0.00  Module#instance_methods
  0.00     0.91      0.00       18     0.00     0.00  Module#append_features
  0.00     0.91      0.00       17     0.00     0.00  Module#included
  0.00     0.91      0.00       18     0.00     0.00  Module#include
  0.00     0.91      0.00      166     0.00     0.00  Gem.suffixes
  0.00     0.91      0.00       10     0.00     2.00  Module#class_eval
  0.00     0.91      0.00        5     0.00     0.00  Module#extend_object
  0.00     0.91      0.00        5     0.00     0.00  Module#extended
  0.00     0.91      0.00        5     0.00     0.00  Kernel#extend
  0.00     0.91      0.00        1     0.00     0.00  JSON::Ext::Generator::GeneratorMethods::String.included
  0.00     0.91      0.00        3     0.00     0.00  JSON::Ext::Generator::State#initialize
  0.00     0.91      0.00       15     0.00     0.00  Hash#key?
  0.00     0.91      0.00        1     0.00     0.00  File.absolute_path
  0.00     0.91      0.00        3     0.00     0.00  File#initialize
  0.00     0.91      0.00        1     0.00     0.00  File#to_path
  0.00     0.91      0.00        3     0.00     0.00  Hash#merge
  0.00     0.91      0.00        1     0.00     0.00  String#to_str
  0.00     0.91      0.00      143     0.00     0.00  Hash#[]
  0.00     0.91      0.00        1     0.00     0.00  JSON::Ext::Parser#initialize
  0.00     0.91      0.00       28     0.00     0.00  IO#set_encoding
  0.00     0.91      0.00        1     0.00   140.00  JSON#parse
  0.00     0.91      0.00        1     0.00   140.00  JSON#load
  0.00     0.91      0.00        3     0.00     0.00  IO#close
  0.00     0.91      0.00        3     0.00    46.67  IO.open
  0.00     0.91      0.00       58     0.00     0.00  Exception#initialize
  0.00     0.91      0.00       59     0.00     0.00  Exception#exception
  0.00     0.91      0.00       59     0.00     0.00  Exception#backtrace
  0.00     0.91      0.00        6     0.00     0.00  Exception#to_s
  0.00     0.91      0.00        6     0.00     0.00  Exception#message
  0.00     0.91      0.00        3     0.00     0.00  String#start_with?
  0.00     0.91      0.00        3     0.00     0.00  String#end_with?
  0.00     0.91      0.00      717     0.00     0.06  Gem::Specification#contains_requirable_file?
  0.00     0.91      0.00       80     0.00     0.50  Gem::Specification.find_inactive_by_path
  0.00     0.91      0.00       59     0.00     0.17  Comparable#<
  0.00     0.91      0.00        1     0.00     0.00  Gem::Requirement.default
  0.00     0.91      0.00        9     0.00     0.00  Gem::Requirement#as_list
  0.00     0.91      0.00        5     0.00     0.00  Array#sort
  0.00     0.91      0.00       11     0.00     0.00  Array#join
  0.00     0.91      0.00        4     0.00     0.00  Gem::Requirement#to_s
  0.00     0.91      0.00        2     0.00     0.00  Gem::Requirement#==
  0.00     0.91      0.00        1     0.00     0.00  Gem::Dependency#merge
  0.00     0.91      0.00        3     0.00    10.00  Gem.try_activate
  0.00     0.91      0.00        1     0.00     0.00  NilClass#nil?
  0.00     0.91      0.00        1     0.00     0.00  Array#pack
  0.00     0.91      0.00        1     0.00     0.00  String#chomp
  0.00     0.91      0.00        9     0.00     0.00  String#+
  0.00     0.91      0.00        1     0.00     0.00  Memoize::PStore#encoded_filename
  0.00     0.91      0.00        1     0.00     0.00  File.exists?
  0.00     0.91      0.00        2     0.00     0.00  IO#binmode
  0.00     0.91      0.00       11     0.00     0.00  IO#getbyte
  0.00     0.91      0.00        9     0.00     0.00  IO#read
  0.00     0.91      0.00        9     0.00     0.00  Kernel#hash
  0.00     0.91      0.00        4     0.00     0.00  Array#hash
  0.00     0.91      0.00        1     0.00     0.00  Marshal.load
  0.00     0.91      0.00        4     0.00     0.00  Memoize::PStore#initialize
  0.00     0.91      0.00        1     0.00     0.00  Kernel#at_exit
  0.00     0.91      0.00        1     0.00     0.00  Memoize#_set_store
  0.00     0.91      0.00        1     0.00     0.00  Module#define_method
  0.00     0.91      0.00        2     0.00     0.00  Module#alias_method
  0.00     0.91      0.00        2     0.00     0.00  Memoize#register
  0.00     0.91      0.00        1     0.00     0.00  BasicObject#instance_eval
  0.00     0.91      0.00       45     0.00     0.89  Gem::Specification.find_in_unresolved
  0.00     0.91      0.00       54     0.00     0.00  NameError#initialize
  0.00     0.91      0.00       54     0.00     0.00  NoMethodError#initialize
  0.00     0.91      0.00       54     0.00     0.00  Gem::Specification#method_missing
  0.00     0.91      0.00       18     0.00     2.78  Gem::Specification.find_in_unresolved_tree
  0.00     0.91      0.00       27     0.00     0.37  Gem::Specification#traverse
  0.00     0.91      0.00        9     0.00     0.00  Array#reverse_each
  0.00     0.91      0.00        1     0.00     0.00  Gem::Version#release
  0.00     0.91      0.00        3     0.00     0.00  Gem::Version#bump
  0.00     0.91      0.00        1     0.00     0.00  Array#[]=
  0.00     0.91      0.00        8     0.00     0.00  Fixnum#to_s
  0.00     0.91      0.00       17     0.00     0.00  Module#private_class_method
  0.00     0.91      0.00       17     0.00     0.00  FileUtils.private_module_function
  0.00     0.91      0.00        1     0.00     0.00  Kernel#freeze
  0.00     0.91      0.00        2     0.00     0.00  Kernel#singleton_methods
  0.00     0.91      0.00        7     0.00     0.00  Hash#keys
  0.00     0.91      0.00      124     0.00     0.08  FileUtils.collect_method
  0.00     0.91      0.00        1     0.00     0.00  Kernel#proc
  0.00     0.91      0.00        1     0.00     0.00  Symbol#to_proc
  0.00     0.91      0.00       28     0.00     0.00  String#intern
  0.00     0.91      0.00        2     0.00     0.00  Array#-
  0.00     0.91      0.00       87     0.00     0.00  Module#module_eval
  0.00     0.91      0.00      132     0.00     0.00  Module#public
  0.00     0.91      0.00        1     0.00     0.00  Hash#invert
  0.00     0.91      0.00       25     0.00     0.00  String#length
  0.00     0.91      0.00       37     0.00     0.00  Regexp.escape
  0.00     0.91      0.00        2     0.00     0.00  Array#reverse
  0.00     0.91      0.00        1     0.00     0.00  Gem.dir
  0.00     0.91      0.00        1     0.00     0.00  Gem.default_bindir
  0.00     0.91      0.00        1     0.00     0.00  Gem.bindir
  0.00     0.91      0.00        2     0.00     0.00  Inline.registered_inline_classes
  0.00     0.91      0.00        5     0.00     0.00  Array#<<
  0.00     0.91      0.00        1     0.00     0.00  Inline.register
  0.00     0.91      0.00        2     0.00     0.00  Kernel#caller
  0.00     0.91      0.00        1     0.00     0.00  Kernel#=~
  0.00     0.91      0.00        1     0.00     0.00  Inline::C#initialize
  0.00     0.91      0.00        3     0.00     0.00  Inline::C#include
  0.00     0.91      0.00        2     0.00     0.00  Array#push
  0.00     0.91      0.00        1     0.00     0.00  Inline::C#add_compile_flags
  0.00     0.91      0.00        2     0.00     0.00  Inline::C#strip_comments
  0.00     0.91      0.00        4     0.00     0.00  String#gsub!
  0.00     0.91      0.00       14     0.00     0.00  Inline::C#parse_signature
  0.00     0.91      0.00        2     0.00     0.00  Array#size
  0.00     0.91      0.00        5     0.00     0.00  String#sub
  0.00     0.91      0.00        3     0.00     0.00  String#sub!
  0.00     0.91      0.00        2     0.00     0.00  ZenTestMapping#test_to_normal
  0.00     0.91      0.00        3     0.00     0.00  Hash#has_key?
  0.00     0.91      0.00        1     0.00     0.00  ZenTestMapping#unmunge
  0.00     0.91      0.00        1     0.00     0.00  Fixnum#>
  0.00     0.91      0.00        1     0.00     0.00  Fixnum#<=
  0.00     0.91      0.00        4     0.00     0.00  Inline::C#generate
  0.00     0.91      0.00        1     0.00     0.00  Inline::C#ruby2c
  0.00     0.91      0.00        1     0.00     0.00  Inline::C#c2ruby
  0.00     0.91      0.00        1     0.00     0.00  Inline::C#c
  0.00     0.91      0.00        1     0.00     0.00  Kernel#test
  0.00     0.91      0.00        2     0.00     0.00  File.stat
  0.00     0.91      0.00        2     0.00     0.00  File::Stat#mode
  0.00     0.91      0.00      108     0.00     0.00  Kernel#block_given?
  0.00     0.91      0.00        2     0.00     0.00  Fixnum#&
  0.00     0.91      0.00        2     0.00     0.00  Dir.assert_secure
  0.00     0.91      0.00        1     0.00     0.00  Inline.rootdir
  0.00     0.91      0.00        1     0.00     0.00  Inline.directory
  0.00     0.91      0.00        1     0.00     0.00  Module#name
  0.00     0.91      0.00        1     0.00     0.00  Digest::Class#initialize
  0.00     0.91      0.00        3     0.00     0.00  Inline::C#module_name
  0.00     0.91      0.00        1     0.00     0.00  Digest::Base#<<
  0.00     0.91      0.00        1     0.00     0.00  Digest::Base#initialize_copy
  0.00     0.91      0.00        1     0.00     0.00  Kernel#initialize_clone
  0.00     0.91      0.00        1     0.00     0.00  Digest::Base#finish
  0.00     0.91      0.00        1     0.00     0.00  Digest::Instance#hexdigest
  0.00     0.91      0.00        1     0.00     0.00  Digest::Instance#to_s
  0.00     0.91      0.00        3     0.00     0.00  Inline::C#so_name
  0.00     0.91      0.00        1     0.00     0.00  File.basename
  0.00     0.91      0.00        5     0.00     0.00  Gem::Specification#original_name
  0.00     0.91      0.00        1     0.00     0.00  Kernel#raise
  0.00     0.91      0.00        1     0.00    20.00  Inline::C#load_cache
  0.00     0.91      0.00        2     0.00     0.00  File.mtime
  0.00     0.91      0.00        1     0.00     0.00  Time#<=>
  0.00     0.91      0.00        1     0.00     0.00  Inline::C#build
  0.00     0.91      0.00        1     0.00     0.00  Inline::C#load
  0.00     0.91      0.00        1     0.00     0.00  Module#inline
  0.00     0.91      0.00        1     0.00     0.00  BasicObject#initialize
  0.00     0.91      0.00        1     0.00     0.00  Range#each
  0.00     0.91      0.00        1     0.00     0.00  Factorials.fact_1
  0.00     0.91      0.00        5     0.00     0.00  String#inspect
  0.00     0.91      0.00        5     0.00     0.00  Kernel#p
  0.00     0.91      0.00        1     0.00     0.00  Memoize#_get_store
  0.00     0.91      0.00        1     0.00     0.00  Numeric#eql?
  0.00     0.91      0.00        1     0.00     0.00  Array#eql?
  0.00     0.91      0.00        1     0.00     0.00  Memoize::MemoryStore#get
  0.00     0.91      0.00        1     0.00     0.00  Factorials.fact_2_with_memoize
  0.00     0.91      0.00        1     0.00     0.00  Factorials.fact_2
  0.00     0.91      0.00        1     0.00     0.00  Factorials.look_up
